$m_S$ [GeV],$m_{\phi}$ [GeV],$T_D$ [GeV],$m_{A'}$ [GeV],Total,Triggers,Quality filters,Orthogonality,One tight lepton,One AK4 jet,MET > 20,One cluster,$p^{miss}_T$ > 30 GeV & Reweighting,$p^{W}_T$ > 60 GeV,30 GeV < $m^{W}_T$ < 130 GeV,b-jet selection,"$\Delta\phi(W, SUEP)$ > 1.5","$\Delta\phi(MET, SUEP)$ > 1.5","$\Delta\phi(lepton, SUEP)$ > 1.5",>=1 AK4 jet in SUEP cluster,$p^{W}_{T}/p^{SUEP}_T$ < 3,"min($\Delta\phi(MET, Jet)$) > 1.5"
125.0,0.5,2.0,1.0,1.0,0.35752531645569624,0.9998406769459541,0.9323123229461756,0.8610441156921207,0.701433612704014,0.9354777851146119,0.6685825686531545,1.063622066954677,0.9824154129622176,0.7121381553950176,0.8687185470162083,0.9933996529922912,0.9880939366153402,0.9908364649153864,0.9983696621339417,0.9934347467841607,0.8466348198598754
125.0,1.0,2.0,1.0,1.0,0.35545637583892614,0.9998867133659348,0.9301319938818287,0.8596747670381875,0.7702208052898807,0.935643108998927,0.7812622886354699,0.9565342506875232,0.9777980294165669,0.7249392918811236,0.9483648752732862,0.9947203662844712,0.9894184568670398,0.9877040862465358,0.9974054704061185,0.9970161070727744,0.8444287057209069
125.0,2.0,2.0,1.0,1.0,0.35122302158273383,0.9997541990987299,0.9317325028683823,0.8614214090949073,0.8619747791902792,0.9327746024224834,0.8114106105343366,0.9090101518133293,0.9732549557898589,0.7276381180411037,0.9709952188330346,0.9947990622890553,0.9875908667981214,0.9859211241092896,0.99684775373076,0.9969155838709044,0.8353605375348282
125.0,4.0,2.0,1.0,1.0,0.35114173228346457,0.9997981836528759,0.928834163190239,0.8655977591577524,0.9305102240075879,0.929368029739777,0.8068064516129031,0.8948848341256126,0.9602890865908696,0.7257392020267277,0.9720289599056545,0.9935715564476656,0.9860602067233704,0.9811658704887424,0.997535437815175,0.9971368689546307,0.8069490899801831
125.0,8.0,2.0,1.0,1.0,0.3550243902439025,0.999748099294678,0.9265868016583823,0.8727380599228716,0.9597496034443691,0.9248590738718528,0.8069374860388678,0.8722467439295095,0.9421301707191727,0.7245401978233393,0.97689442275069,0.9933521231288852,0.9807732785462767,0.9760801522326115,0.999108336644735,0.9965454271070335,0.7269971022332274
125.0,0.75,3.0,1.0,1.0,0.3540592105263158,0.9997770221305537,0.9317349688690642,0.8625428867789037,0.7193866931847089,0.942971035458257,0.8149183513449016,0.9500400761689201,0.9798965183130997,0.722670564539145,0.9566313550062826,0.9954703952247856,0.9884778534644992,0.9904208651218135,0.995251797020042,0.9967815121302356,0.8462603294541078
125.0,1.5,3.0,1.0,1.0,0.34860416666666666,0.9998207135600312,0.9309224945208207,0.8569869229287503,0.8076971104617768,0.9432917967904516,0.8383977447798867,0.9312193744967417,0.9775983232145686,0.72213613512657,0.9617798642148637,0.995475381730334,0.9890010437930767,0.9875261904329999,0.9954143459645715,0.9973296116284928,0.8422505462750844
125.0,12.0,3.0,1.0,1.0,0.357476821192053,0.9996294855406731,0.9296873552141441,0.8757500249177713,0.9650824000728399,0.9187697532902496,0.8267186938440211,0.8974804681228462,0.9182137890330572,0.7322481788223854,0.965719337632957,0.9890386538184636,0.9714527691237312,0.966039655312492,0.9979703148242812,0.9965039350917401,0.6773863805486341
125.0,3.0,3.0,1.0,1.0,0.35048427672955984,0.9998384983939561,0.9299508237912345,0.8611019974910739,0.8975749697431532,0.9333300039952057,0.817058162555514,0.925049143749989,0.9677154237117188,0.726351157630816,0.9619262754302459,0.9939667139573697,0.9888223481508269,0.984224534700265,0.9967730003011787,0.9970362075687722,0.8257897634632934
125.0,6.0,3.0,1.0,1.0,0.3527922077922078,0.9996686913307565,0.9253019590514068,0.8707591284449308,0.9512797074954297,0.9268280964735274,0.8085894976932249,0.9169139407376758,0.949361047796439,0.7254969648794195,0.9587939933247375,0.9921916268206978,0.9842659472304366,0.978055687174312,0.9981307318593468,0.9976844704085702,0.7702227633101425
